scMUG_cluster,acinar,alpha,beta,delta,ductal,endothelial,epsilon,gamma,mesenchymal
0,0.9396551724137931,0.004310344827586207,0.01293103448275862,0.0,0.034482758620689655,0.0,0.0,0.008620689655172414,0.0
1,0.0,0.9964912280701754,0.0035087719298245615,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.00468384074941452,0.9789227166276346,0.00702576112412178,0.00936768149882904,0.0,0.0,0.0,0.0
3,0.0,0.0,0.05517241379310345,0.0,0.10344827586206896,0.13793103448275862,0.020689655172413793,0.6827586206896552,0.0
4,0.0,0.09502262443438914,0.04524886877828054,0.8597285067873304,0.0,0.0,0.0,0.0,0.0
5,0.0,0.9979959919839679,0.002004008016032064,0.0,0.0,0.0,0.0,0.0,0.0
6,0.003194888178913738,0.019169329073482427,0.022364217252396165,0.0,0.6964856230031949,0.003194888178913738,0.0,0.0,0.25559105431309903
